country,cat_rating
United States,Critically Insufficient
Russia,Critically Insufficient
Saudi Arabia,Critically Insufficient
Iran,Critically Insufficient
Indonesia,Critically Insufficient
Vietnam,Critically Insufficient
Turkey,Critically Insufficient
Argentina,Critically Insufficient
Thailand,Critically Insufficient
India,Highly Insufficient
China,Highly Insufficient
Canada,Highly Insufficient
Mexico,Highly Insufficient
Egypt,Highly Insufficient
Singapore,Highly Insufficient
New Zealand,Highly Insufficient
Brazil,Insufficient
Australia,Insufficient
Japan,Insufficient
South Korea,Insufficient
United Kingdom,Insufficient
United Arab Emirates,Insufficient
Kazakhstan,Insufficient
South Africa,Insufficient
Switzerland,Insufficient
Peru,Insufficient
Germany,Insufficient
Colombia,Insufficient
Morocco,Almost Sufficient
Kenya,Almost Sufficient
Nigeria,Almost Sufficient
Chile,Almost Sufficient
Philippines,Almost Sufficient
Ethiopia,Almost Sufficient
Costa Rica,Almost Sufficient
Nepal,Almost Sufficient
Bhutan,Almost Sufficient
Norway,Almost Sufficient
Gambia,Almost Sufficient
